"SessionID","Timestamp","FileName","FullPath","SizeGB","Extension","LastModified"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:03:38Z","wsl_home_backup.tar.gz","C:\Users\arhiv\wsl_home_backup.tar.gz","2.49",".gz","11/7/2025 9:01:53 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:06:15Z","Codestral-22B-v0.1-Q2_K.gguf","C:\Users\arhiv\.lmstudio\models\lmstudio-community\Codestral-22B-v0.1-GGUF\Codestral-22B-v0.1-Q2_K.gguf","7.7",".gguf","5/8/2026 6:41:03 AM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:06:25Z","Devstral-Small-2-24B-Instruct-2512-Q3_K_L.gguf","C:\Users\arhiv\.lmstudio\models\lmstudio-community\Devstral-Small-2-24B-Instruct-2512-GGUF\Devstral-Small-2-24B-Instruct-2512-Q3_K_L.gguf","11.55",".gguf","5/8/2026 6:55:03 AM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:06:36Z","sha256-2bada8a7450677000f678be90653b85d364de7db25eb5ea54136ada5f3933730","C:\Users\arhiv\.ollama\models\blobs\sha256-2bada8a7450677000f678be90653b85d364de7db25eb5ea54136ada5f3933730","4.36","","5/9/2026 12:44:08 AM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:06:46Z","sha256-667b0c1932bc6ffc593ed1d03f895bf2dc8dc6df21db3042284a6f4416b06a29","C:\Users\arhiv\.ollama\models\blobs\sha256-667b0c1932bc6ffc593ed1d03f895bf2dc8dc6df21db3042284a6f4416b06a29","4.58","","4/26/2026 1:13:06 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:06:55Z","sha256-c1864a5eb19305c40519da12cc543519e48a0697ecd30e15d5ac228644957d12","C:\Users\arhiv\.ollama\models\blobs\sha256-c1864a5eb19305c40519da12cc543519e48a0697ecd30e15d5ac228644957d12","1.56","","4/26/2026 1:02:22 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:07:03Z","sha256-dde5aa3fc5ffc17176b5e8bdc82f587b24b2678c6c66101bf7da77af9f7ccdff","C:\Users\arhiv\.ollama\models\blobs\sha256-dde5aa3fc5ffc17176b5e8bdc82f587b24b2678c6c66101bf7da77af9f7ccdff","1.88","","2/25/2026 9:07:52 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:07:11Z","pack-9d4575a377d233062ced822903a2177cf2b83880.pack","C:\Users\arhiv\apostille-legal-case\.git\objects\pack\pack-9d4575a377d233062ced822903a2177cf2b83880.pack","5.67",".pack","4/20/2026 11:25:00 AM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:08:08Z","sha256-3a43f93b78ec50f7c4e4dc8bd1cb3fff5a900e7d574c51a6f7495e48486e0dac","C:\Users\arhiv\blobs\sha256-3a43f93b78ec50f7c4e4dc8bd1cb3fff5a900e7d574c51a6f7495e48486e0dac","3.56","","4/14/2026 8:06:55 AM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:09:35Z","sha256-6a0746a1ec1aef3e7ec53868f220ff6e389f6f8ef87a01d77c96807de94ca2aa","C:\Users\arhiv\blobs\sha256-6a0746a1ec1aef3e7ec53868f220ff6e389f6f8ef87a01d77c96807de94ca2aa","4.34","","3/12/2026 11:54:32 PM"
